135.239,63.6043, 55.0729,44.2708, 215.531,40.1329, 12.9741,234.457, 246.784,238.578, 103.647,198, 213.689,206.066
137.583,48.7379, 85,27.5, 200,31, 24.0673,220.375, 232.771,170.635, 90.4356,192.663, 184.245,139.819
135.324,44.6622, 65.8485,31.303, 206.295,30.7869, 24.4483,218.034, 246.5,215, 112.588,176.282, 189,185.933
138.693,57.28, 80.2308,36.6374, 199.089,38, 36.4945,205.814, 231.535,204.613, 114.677,168.496, 174.829,180.643
125.5,66, 57.1724,49.5517, 186.833,43.1444, 21.1571,236.514, 227.934,238.292, 100.023,202.448, 181.191,199.764
130.455,60.5393, 57.1319,42.3187, 202.299,37.8276, 18.0455,242.156, 235.924,249.364, 97.8871,209, 186.6,220.7
133.435,63.3796, 67.7617,41.3598, 201.97,35.3333, 38.1449,232.609, 239.575,228.962, 111.469,199.444, 190.533,203.447
143.435,51.9355, 87.5238,23.6857, 198.56,19.6333, 46,244.5, 242.122,248.439, 122.357,203.246, 200.43,205.553
138.465,56.9554, 72.1338,37.0282, 213.212,36, 15.5281,237.258, 241.294,249.868, 106.963,193.995, 192.638,213.371
140.57,58.593, 66.4156,47.3182, 213.129,47.5806, 20.5934,242.571, 236.924,246.565, 109.407,194.947, 182.274,210.059
130.333,64.6905, 51.5526,44.2105, 203.566,35.6974, 40.1888,224.399, 241.006,219.15, 117.586,186.046, 188.603,191.521
136.373,67.7091, 75.7053,49.9158, 195.777,39.0638, 66,251, 238.5,252, 126.413,213.307, 203.471,227.647
138.25,71.6694, 73.4545,37.9221, 197.013,40.4338, 50.9527,169.547, 249.222,219.972, 113.866,190.813, 208.482,205.379
129.233,55.0581, 73.5567,30.5258, 188.949,27.7458, 46.9,235.117, 207.609,235.703, 108.712,192.462, 168.653,201.541
141.188,72.4135, 78.2202,45.5078, 190.699,50.6144, 41.4362,248.989, 221.797,231.492, 113.66,214.888, 195.188,212.275
